Contamination: 0.01, nf=bubble lrsom=0.4, lrdagmm=0.0001, l1=0.1, l2=0.005 Accuracy: 0.8132434833481398, Precision: 0.9827050997782705, Recall: 0.780281690140845, F1 Score: 0.8698724239450442, AUROC: 0.7504402191692493
Contamination: 0.01, nf=bubble lrsom=0.4, lrdagmm=0.0001, l1=0.1, l2=0.005 Accuracy: 0.8177504279430565, Precision: 0.9862527716186252, Recall: 0.7830985915492957, F1 Score: 0.8730127576054956, AUROC: 0.7553026747140407
Contamination: 0.01, nf=bubble lrsom=0.4, lrdagmm=0.0001, l1=0.1, l2=0.005 Accuracy: 0.8186171480574636, Precision: 0.9869350162033089, Recall: 0.7836403033586132, F1 Score: 0.8736166679248132, AUROC: 0.7562377623188081
Contamination: 0.01, nf=bubble lrsom=0.4, lrdagmm=0.0001, l1=0.1, l2=0.005 Accuracy: 0.8311845897163659, Precision: 0.9968275626812212, Recall: 0.7914951245937162, F1 Score: 0.8823733675549181, AUROC: 0.7697965325879377
Contamination: 0.01, nf=bubble lrsom=0.4, lrdagmm=0.0001, l1=0.1, l2=0.005 Accuracy: 0.8311845897163659, Precision: 0.9968275626812212, Recall: 0.7914951245937162, F1 Score: 0.8823733675549181, AUROC: 0.7697965325879377
Contamination: 0.0, nf=bubble lrsom=0.4, lrdagmm=0.0001, l1=0.1, l2=0.005 Accuracy: 0.20326673676831405, Precision: 0.9715447154471545, Recall: 0.004188646839236579, F1 Score: 0.008341331471948347, AUROC: 0.5860762449476519
Contamination: 0.0, nf=bubble lrsom=0.4, lrdagmm=0.0001, l1=0.1, l2=0.005 Accuracy: 0.20077171231576948, Precision: 0.943089430894309, Recall: 0.0010191172336238403, F1 Score: 0.0020360342966466867, AUROC: 0.5716094321708001
Contamination: 0.0, nf=bubble lrsom=0.4, lrdagmm=0.0001, l1=0.1, l2=0.005 Accuracy: 0.20326673676831405, Precision: 0.9715447154471545, Recall: 0.004188646839236579, F1 Score: 0.008341331471948347, AUROC: 0.5860762449476519
Contamination: 0.0, nf=bubble lrsom=0.4, lrdagmm=0.0001, l1=0.1, l2=0.005 Accuracy: 0.8176637559316158, Precision: 0.9861845471601569, Recall: 0.7830444203683641, F1 Score: 0.8729523665735638, AUROC: 0.7552091659535638
Contamination: 0.0, nf=bubble lrsom=0.4, lrdagmm=0.0001, l1=0.1, l2=0.005 Accuracy: 0.8183571320231414, Precision: 0.9867303428279038, Recall: 0.783477789815818, F1 Score: 0.8734354948290179, AUROC: 0.755957236037378
Contamination: 0.0, nf=bubble lrsom=0.4, lrdagmm=0.0001, l1=0.1, l2=0.005 Accuracy: 0.8150635955883946, Precision: 0.9841378134061061, Recall: 0.7814192849404117, F1 Score: 0.8711406356156111, AUROC: 0.7524039031392612
Contamination: 0.0, nf=bubble lrsom=0.4, lrdagmm=0.0001, l1=0.1, l2=0.005 Accuracy: 0.8127667872852159, Precision: 0.9823298652566945, Recall: 0.7799837486457205, F1 Score: 0.8695402732694195, AUROC: 0.7499259209866271
Contamination: 0.0, nf=bubble lrsom=0.4, lrdagmm=0.0001, l1=0.1, l2=0.005 Accuracy: 0.8037528980953825, Precision: 0.975234521575985, Recall: 0.7743499458288191, F1 Score: 0.8632596059485167, AUROC: 0.7402010098970445
